Reaction,Name,Subsystem,Unconstrained_Flux,Constrained_Flux,Difference,Formula
CYSGLUTRPr,Metabolism (Formation/Degradation) of CysGluTrp,,9.351354249622595,0.0,9.351354249622595,cysglutrp_c + 2.0 h2o_c <=> cys__L_c + glu__L_c + trp__L_c
CYSGLUTRPt,"Transport of CysGluTrp, Extracellular",,9.351354249622593,0.0,9.351354249622593,cysglutrp_e + h_e <=> cysglutrp_c + h_c
C160CPT2,C160 transport into the mitochondria,,8.635261455131827,0.0,8.635261455131827,coa_m + pmtcrn_m <=> crn_m + pmtcoa_m
FAOXC160,Beta oxidation of long chain fatty acid,,8.635261455131827,0.0,8.635261455131827,7.0 coa_m + 7.0 fad_m + 7.0 h2o_m + 7.0 nad_m + pmtcoa_m --> 8.0 accoa_m + 7.0 fadh2_m + 7.0 h_m + 7.0 nadh_m
r0732,Hexanoyl Coenzyme A:Acetyl Coenzyme A C-Acyltransferase,,8.635261455131827,2.7324418483466595e-18,8.635261455131827,HC01406_m + coa_m --> accoa_m + hxcoa_m
FAOXC1811603m,Beta oxidation  fatty acid,,8.635261455131827,0.0,8.635261455131827,5.0 coa_m + 4.0 fad_m + 5.0 h2o_m + 5.0 nad_m + odecoa_m --> 5.0 accoa_m + 4.0 fadh2_m + 5.0 h_m + 5.0 nadh_m + occoa_m
r1467,Postulated transport reaction,,8.635261455131827,0.0,8.635261455131827,odecoa_c <=> odecoa_m
ACOADH60_m,Acyl-CoA dehydrogenase (6:0),,8.635261455131827,0.0,8.635261455131827,fad_m + hxcoa_m --> fadh2_m + hx2coa_m
r0633,Trans-Oct-2-Enoyl Coenzyme A Reductase,,8.635261455131827,2.7324418483466595e-18,8.635261455131827,nadp_m + occoa_m <=> HC01415_m + h_m + nadph_m
CARN160t_m,Hexadecanoyl-l-carnitine:carnitine antiport (Cytosol to mitochondira),,8.635261455131825,0.0,8.635261455131825,crn_m + pmtcrn_c <=> crn_c + pmtcrn_m
r2438,Mitochondrial Carrier (Mc) Tcdb:2.A.29.8.3,,-8.635261455131825,0.0,8.635261455131825,c4crn_c + crn_m <=> c4crn_m + crn_c
C4CRNCPT2,Transport of butyryl carnitine in the mitochondrial matrix for final hydrolysis,,-8.635261455131825,0.0,8.635261455131825,c4crn_m + coa_m <=> btcoa_m + crn_m
r0733,(S)-Hydroxyhexanoyl Coenzyme A:NAD+ Oxidoreductase,,8.635261455131825,2.73244184834666e-18,8.635261455131825,HC01407_m + nad_m --> HC01408_m + h_m + nadh_m
r0287,Acetyl Coenzyme A:Acetyl Coenzyme A C-Acetyltransferase,,8.635261455131825,2.7324418483466603e-18,8.635261455131825,HC01408_m + coa_m --> accoa_m + btcoa_m
r0731,(S)-Hydroxyoctanoyl Coenzyme A Hydro-Lyase,,8.635261455131825,2.7324418483466595e-18,8.635261455131825,HC01415_m + h2o_m --> HC01405_m
r0734,(S)-Hydroxyhexanoyl Coenzyme A Hydro-Lyase,,8.635261455131825,2.73244184834666e-18,8.635261455131825,h2o_m + hx2coa_m --> HC01407_m
r0730,(S)-Hydroxyoctanoyl Coenzyme A:NAD+ Oxidoreductase,,8.635261455131825,2.7324418483466595e-18,8.635261455131825,HC01405_m + nad_m --> HC01406_m + h_m + nadh_m
C4CRNe,Transport of butyryl carnitine into the extra cellular space,,8.635261455131825,0.0,8.635261455131825,c4crn_c --> c4crn_e
PMTCRNtr,Transport of L-Palmitoylcarnitine,,8.635261455131824,0.0,8.635261455131824,pmtcrn_e <=> pmtcrn_c
ALR2,Aldose reductase (methylglyoxal),,0.0,6.717912018711775,6.717912018711775,h_c + mthgxl_c + nadph_c --> acetol_c + nadp_c
CO2t,CO2 transporter via diffusion,,0.0,-6.68999999999999,6.68999999999999,co2_e <=> co2_c
RE2644C,Aspartoacylase,,-5.292016382172783,0.0,5.292016382172783,CE1556_c + h2o_c <=> ac_c + asn__L_c
CE1556td,Transport of N-Acetyl-L-Asparagine,,5.292016382172782,0.0,5.292016382172782,CE1556_c <=> CE1556_e
