Reaction,Name,Subsystem,Unconstrained_Flux,Constrained_Flux,Difference,Formula
SUCCtm,Succinate transport  mitochondrial,,-203.96728478111706,0.0,203.96728478111706,pi_m + succ_c <=> pi_c + succ_m
SUCFUMtm,Succinate fumarate transport  mitochondrial,,203.967284781117,0.0,203.967284781117,fum_m + succ_c <=> fum_c + succ_m
FUMtr,Fumarate transport via diffusion (reversible),,-203.96728478111697,0.0,203.96728478111697,fum_e <=> fum_c
VALLEUPHEt,"Transport of ValLeuPhe, Extracellular",,-189.24152956346575,0.0,189.24152956346575,h_e + valleuphe_e <=> h_c + valleuphe_c
VALLEUPHEr,Metabolism (Formation/Degradation) of ValLeuPhe,,-189.24152956346575,0.0,189.24152956346575,2.0 h2o_c + valleuphe_c <=> leu__L_c + phe__L_c + val__L_c
SK_glygn2_c,Sink glygn2[c],,-188.61104592581935,0.0,188.61104592581935,glygn2_c <=> 
DXTRNt,Transport of Phosphorylase-Limit Dextrin,,188.61104592581933,0.0,188.61104592581933,dxtrn_c <=> dxtrn_e
GLPASE1,Glycogen phosphorylase (glygn2 -> dxtrn),,188.61104592581933,0.0,188.61104592581933,glygn2_c + 3.0 pi_c --> dxtrn_c + 3.0 g1p_c
GTHRDH_syn,Glutathione hydralase (periplasmic),,0.0,-186.31499999999988,186.31499999999988,gthrd_c + h2o_c <=> cgly_c + glu__L_c
BILGLCURt,Bilirubin monoglucuronide transport via bicarbonate countertransport,,0.0,-186.31499999999986,186.31499999999986,bilglcur_e + hco3_c <=> bilglcur_c + hco3_e
r2202,Resistance-Nodulation-Cell Division (RND) TCDB:2.A.60.1.5,,0.0,186.31499999999986,186.31499999999986,bilglcur_e + gthrd_c + hco3_c <=> bilglcur_c + gthrd_e + hco3_e
CGLYt3_2,Cys-Gly transport in via proton symport,,0.0,186.31499999999986,186.31499999999986,cgly_e + 2.0 h_e --> cgly_c + 2.0 h_c
