Condition,ATPM (mmol/gDW/hr),Baseline ATPM,ATPM Δ,ATPM Change (%)
Low,59.51166666666665,34.711666666667384,24.799999999999265,71.44571949872402
Mid,84.31166666666668,34.711666666667384,49.5999999999993,142.89143899745025
High,133.91166666666672,34.711666666667384,99.19999999999932,285.7828779949026
