model,condition,fraction_optimum,reaction,fva_minimum,fva_maximum,range
Human-GEM,StachysDose_Low,1.0,ATPM_added,70.8425,70.8425,-0.0
Human-GEM,StachysDose_Low,1.0,MAR09086,-2.0,-2.0,0.0
Human-GEM,StachysDose_Low,1.0,MAR09808,-0.7,-0.7,0.0
Human-GEM,StachysDose_Low,1.0,MAR09809,-0.4,-0.4,0.0
Human-GEM,StachysDose_Low,1.0,MAR09058,14.39,14.39,-0.0
Human-GEM,StachysDose_Low,1.0,MAR09048,-17.74,-15.24,2.5
Human-GEM,StachysDose_Mid,0.9,ATPM_added,96.1358,106.8175,10.6817
Human-GEM,StachysDose_Mid,0.9,MAR09086,-4.0,-2.7052,1.2948
Human-GEM,StachysDose_Mid,0.9,MAR09808,-1.4,-0.6996,0.7004
Human-GEM,StachysDose_Mid,0.9,MAR09809,-0.8,-0.3145,0.4855
Human-GEM,StachysDose_Mid,0.9,MAR09058,19.4799,22.09,2.6101
Human-GEM,StachysDose_Mid,0.9,MAR09048,-31.5309,-21.0578,10.4731
Human-GEM,StachysDose_Mid,0.95,ATPM_added,101.4766,106.8175,5.3409
Human-GEM,StachysDose_Mid,0.95,MAR09086,-4.0,-3.3526,0.6474
Human-GEM,StachysDose_Mid,0.95,MAR09808,-1.4,-1.0498,0.3502
Human-GEM,StachysDose_Mid,0.95,MAR09809,-0.8,-0.5572,0.2428
Human-GEM,StachysDose_Mid,0.95,MAR09058,20.7746,22.09,1.3154
Human-GEM,StachysDose_Mid,0.95,MAR09048,-28.8604,-22.3525,6.5079
Human-GEM,StachysDose_Mid,1.0,ATPM_added,106.8175,106.8175,0.0
Human-GEM,StachysDose_Mid,1.0,MAR09086,-4.0,-4.0,0.0
Human-GEM,StachysDose_Mid,1.0,MAR09808,-1.4,-1.4,0.0
Human-GEM,StachysDose_Mid,1.0,MAR09809,-0.8,-0.8,0.0
Human-GEM,StachysDose_Mid,1.0,MAR09058,22.09,22.09,-0.0
Human-GEM,StachysDose_Mid,1.0,MAR09048,-26.19,-23.69,2.5
Human-GEM,StachysDose_High,0.9,ATPM_added,160.8907,178.7675,17.8768
Human-GEM,StachysDose_High,0.9,MAR09086,-8.0,-5.8331,2.1669
Human-GEM,StachysDose_High,0.9,MAR09808,-2.8,-1.6278,1.1722
Human-GEM,StachysDose_High,0.9,MAR09809,-1.6,-0.7874,0.8126
Human-GEM,StachysDose_High,0.9,MAR09058,33.1356,37.49,4.3544
Human-GEM,StachysDose_High,0.9,MAR09048,-52.0284,-36.2135,15.8149
Human-GEM,StachysDose_High,0.95,ATPM_added,169.8291,178.7675,8.9384
Human-GEM,StachysDose_High,0.95,MAR09086,-8.0,-6.9166,1.0834
