model,condition,ATPM_FBA,ATPM_pFBA,total_flux_FBA,total_flux_pFBA,flux_reduction_pct,pfba_PYK,fba_PYK,pfba_PDHm,fba_PDHm,pfba_CSm,fba_CSm,pfba_ACONTm,fba_ACONTm,pfba_ICDHxm,fba_ICDHxm,pfba_AKGDm,fba_AKGDm,pfba_FUMm,fba_FUMm,pfba_MDHm,fba_MDHm,pfba_PCm,fba_PCm,pfba_G6PDH2r,fba_G6PDH2r,pfba_FBA,fba_FBA,pfba_PFK,fba_PFK,pfba_ATPS4mi,fba_ATPS4mi,pfba_NADH2_u10mi,fba_NADH2_u10mi,pfba_CYOOm3i,fba_CYOOm3i,pfba_SUCDi,fba_SUCDi,pfba_PEPCK,fba_PEPCK
Recon3D,StachysDose_Low,59.5117,59.5117,1210.81,1163.04,3.9,2.0416666666661936,2.041666666666667,2.0816666666661936,2.081666666666671,4.991666666667093,4.991666666666672,4.991666666667093,4.991666666666672,4.981666666667092,0.0,5.001666666667093,5.001666666666671,5.021666666667093,5.021666666666671,4.971666666668002,4.991666666666672,0.0,0.0,0.0,0.0,1.0033333333333334,0.0033333333333333335,1.0033333333333334,0.0033333333333333335,57.39833333333337,57.398333333333404,19.68833333333364,19.688333333333354,0.0,0.0,,,,
Recon3D,StachysDose_Mid,84.3117,84.3117,1950.12,1679.83,13.9,2.041666666667578,2.0416666666666665,2.0816666666675774,2.0816666666666412,7.79166666666575,7.79166666666663,7.79166666666575,7.79166666666663,7.791666666665747,0.0,7.801666666665749,7.801666666666608,7.82166666666575,7.821666666666608,7.7716666666639025,7.791666666666632,0.0,0.0,0.0,0.0,1.003333333333328,0.006666666666666671,1.003333333333328,0.006666666666666671,84.19833333333263,84.19833333333266,28.488333333332466,28.4883333333331,5.354654218271488e-14,0.0,,,,
Recon3D,StachysDose_High,133.9117,133.9117,3154.92,2713.43,14.0,2.0416666666681067,2.0416666666666665,2.081666666668106,2.0816666666666257,13.391666666665223,13.391666666666563,13.391666666665223,13.391666666666563,13.391666666665209,0.0,13.401666666665223,13.401666666666525,13.421666666665223,13.421666666666527,13.371666666662312,13.391666666666566,0.0,0.0,0.0,0.0,1.003333333333325,0.006666666666666671,1.003333333333325,0.006666666666666671,137.7983333333322,137.7983333333317,46.08833333333199,46.08833333333277,1.0518530682070163e-13,0.0,,,,
Human-GEM,StachysDose_Low,70.8425,70.8425,763.34,735.02,3.7,2.0100000000000664,2.0100000000000007,2.0699999999999887,2.800000000000001,5.709999999999998,5.710000000000008,0.05,0.0,5.709999999999998,5.710000000000009,5.719999999999998,5.720000000000009,0.0,0.009999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,-1.0099999999999798,-1.01,1.0099999999999798,1.01,30.339999999999993,30.340000000000064,23.42999999999999,23.430000000000035,15.169999999999996,15.17000000000003,-5.7299999999999995,-6.450000000000009,0.0,0.0
Human-GEM,StachysDose_Mid,106.8175,106.8175,1174.89,1125.14,4.2,2.0099999999999003,2.0099999999999993,2.070000000000073,3.5000000000000004,9.210000000000058,9.209999999999999,0.049999999999999996,0.0,9.210000000000043,9.209999999999999,9.220000000000057,9.219999999999999,0.0,0.009999999999999985,0.0,0.0,0.0,0.0,0.0,0.0,-1.0100000000000635,-1.0099999999999996,1.0100000000000635,1.0099999999999996,47.240000000000364,47.24,35.73000000000028,35.73,23.62000000000018,23.619999999999997,-9.230000000000057,-10.649999999999999,0.0,0.0
Human-GEM,StachysDose_High,178.7675,178.7675,2005.2,1905.37,5.0,2.010000000000266,2.0100000000000002,2.0699999999999075,4.900000000000002,16.209999999999983,16.210000000000036,0.04999999999999998,0.0,16.209999999999997,16.210000000000036,16.21999999999998,16.220000000000038,0.0,0.009999999999999985,0.0,0.0,0.0,0.0,-1.3955611494309532e-14,0.0,-1.0099999999998912,-1.0099999999999998,1.0099999999998912,1.0099999999999998,81.03999999999984,81.04000000000023,60.3299999999999,60.33000000000017,40.519999999999925,40.52000000000012,-16.229999999999983,-19.05000000000004,0.0,0.0
