condition,acetate_mmol_gDW_hr,propionate_mmol_gDW_hr,butyrate_mmol_gDW_hr,lactate_mmol_gDW_hr,objective_id,objective_value,baseline_objective,objective_delta,objective_pct_change,glucose_flux,oxygen_flux,co2_flux,acetate_flux,propionate_flux,butyrate_flux,lactate_flux,solver,pathway_PYK,pathway_PDHm,pathway_CSm,pathway_ACONTm,pathway_ICDHxm,pathway_AKGDm,pathway_SUCDi,pathway_FUMm,pathway_MDHm,pathway_PCm,pathway_PEPCK,pathway_G6PDH2r,pathway_FBA,pathway_PFK,pathway_ATPS4mi,pathway_NADH2_u10mi,pathway_CYOOm3i
StachysDose_High,8.0,2.8,1.6,0.0,ATPM,133.91166666666672,34.711666666667384,99.19999999999933,285.7828779949026,-1.0,-30.639999999999997,28.98,-8.0,0.0,-1.6,0.0,glpk,2.0416666666666674,2.0816666666666674,13.391666666666667,13.391666666666671,0.0,13.401666666666667,,13.421666666666669,13.391666666666667,0.0,,0.0,1.0066666666666666,1.0066666666666666,137.79833333333335,46.08833333333333,0.0
StachysDose_Mid,4.0,1.4,0.8,0.0,ATPM,84.31166666666668,34.711666666667384,49.5999999999993,142.89143899745025,-1.0,-18.639999999999993,17.779999999999994,-4.0,0.0,-0.8,0.0,glpk,2.0416666666666665,2.0816666666666674,7.791666666666666,7.791666666666667,0.0,7.801666666666663,,7.8216666666666645,7.791666666666667,0.0,,0.0,1.0066666666666666,1.0066666666666666,84.19833333333331,28.488333333333326,0.0
StachysDose_Low,2.0,0.7,0.4,0.0,ATPM,59.51166666666665,34.711666666667384,24.799999999999265,71.44571949872402,-1.0,-12.639999999999993,12.179999999999994,-2.0,0.0,-0.4,0.0,glpk,2.0416666666666674,2.081666666666667,4.991666666666666,4.991666666666667,0.0,5.001666666666663,,5.021666666666663,4.991666666666666,0.0,,0.0,1.0066666666666666,1.0066666666666666,57.39833333333331,19.688333333333325,0.0
StachysDose_High_Lactate,8.0,2.8,1.6,1.24,ATPM,152.5116666666667,34.711666666667384,117.79999999999933,339.36716761894724,-1.0,-34.360000000000014,32.70000000000002,-8.0,0.0,-1.6,-1.24,glpk,2.0416666666666683,3.321666666666672,14.63166666666667,14.631666666666671,0.0,14.641666666666667,,14.661666666666669,14.631666666666671,0.0,,0.0,1.0066666666666666,1.0066666666666666,155.1583333333334,52.28833333333335,0.0
StachysDose_Mid_Lactate,4.0,1.4,0.8,0.62,ATPM,93.61166666666668,34.711666666667384,58.899999999999295,169.68358380947254,-1.0,-20.499999999999993,19.640000000000004,-4.0,0.0,-0.8,-0.62,glpk,2.041666666666668,2.701666666666669,8.411666666666667,8.411666666666669,0.0,8.421666666666667,,8.441666666666666,8.411666666666667,0.0,,0.0,1.0066666666666666,1.0066666666666666,92.87833333333333,31.58833333333333,0.0
StachysDose_Low_Lactate,2.0,0.7,0.4,0.31,ATPM,64.16166666666665,34.711666666667384,29.449999999999264,84.84179190473516,-1.0,-13.569999999999997,13.109999999999996,-2.0,0.0,-0.4,-0.31,glpk,2.041666666666668,2.3916666666666675,5.301666666666667,5.301666666666667,0.0,5.311666666666665,,5.331666666666664,5.301666666666668,0.0,,0.0,1.0066666666666666,1.0066666666666666,61.73833333333333,21.238333333333333,0.0
