model,condition,objective_id,objective_value,baseline_objective,objective_delta,objective_pct_change,glucose_flux,oxygen_flux,co2_flux,acetate_flux,propionate_flux,butyrate_flux,solver,pathway_PYK,pathway_PDHm,pathway_CSm,pathway_ACONTm,pathway_ICDHxm,pathway_AKGDm,pathway_SUCDi,pathway_FUMm,pathway_MDHm,pathway_PCm,pathway_PEPCK,pathway_G6PDH2r,pathway_FBA,pathway_PFK,pathway_ATPS4mi,pathway_NADH2_u10mi,pathway_CYOOm3i
Recon3D,StachysDose_High,ATPM,133.91166666666672,34.711666666667384,99.19999999999933,285.7828779949026,-1.0,-30.639999999999997,28.98,-8.0,0.0,-1.6,optlang.glpk_interface,2.0416666666666674,2.0816666666666674,13.391666666666667,13.391666666666671,0.0,13.401666666666667,,13.421666666666669,13.391666666666667,0.0,,0.0,1.0066666666666666,1.0066666666666666,137.79833333333335,46.08833333333333,0.0
Recon3D,StachysDose_Mid,ATPM,84.31166666666668,34.711666666667384,49.5999999999993,142.89143899745025,-1.0,-18.639999999999993,17.779999999999994,-4.0,0.0,-0.8,optlang.glpk_interface,2.0416666666666665,2.0816666666666674,7.791666666666666,7.791666666666667,0.0,7.801666666666663,,7.8216666666666645,7.791666666666667,0.0,,0.0,1.0066666666666666,1.0066666666666666,84.19833333333331,28.488333333333326,0.0
Recon3D,StachysDose_Low,ATPM,59.51166666666665,34.711666666667384,24.799999999999265,71.44571949872402,-1.0,-12.639999999999993,12.179999999999994,-2.0,0.0,-0.4,optlang.glpk_interface,2.0416666666666674,2.081666666666667,4.991666666666666,4.991666666666667,0.0,5.001666666666663,,5.021666666666663,4.991666666666666,0.0,,0.0,1.0066666666666666,1.0066666666666666,57.39833333333331,19.688333333333325,0.0
Human-GEM,StachysDose_High,ATPM_added,178.76750000000087,34.86750000000016,143.90000000000072,412.70524127052425,-1.0,-40.59000000000021,37.49000000000015,-8.0,-2.8,-1.6,optlang.glpk_interface,2.0000000000000004,2.0700000000000025,16.21000000000007,0.0,0.0,16.22000000000007,-16.230000000000068,16.240000000000077,0.0,0.0,0.0,0.0,-1.0100000000000005,1.0100000000000007,81.04000000000039,60.33000000000028,40.520000000000195
Human-GEM,StachysDose_Mid,ATPM_added,106.8175000000002,34.86750000000016,71.95000000000003,206.3526206352612,-1.0,-23.690000000000047,22.090000000000035,-4.0,-1.4,-0.8,optlang.glpk_interface,1.9999999999999996,2.0699999999999994,9.210000000000012,0.0,0.0,9.220000000000015,-9.230000000000013,9.240000000000016,0.0,0.0,0.0,0.0,-1.0099999999999996,1.0099999999999996,47.240000000000094,35.730000000000054,23.620000000000044
Human-GEM,StachysDose_Low,ATPM_added,70.84250000000074,34.86750000000016,35.97500000000058,103.1763103176322,-1.0,-15.240000000000153,14.390000000000116,-2.0,-0.7,-0.4,optlang.glpk_interface,2.0000000000000053,2.0700000000000114,5.71000000000005,0.0,0.0,5.720000000000051,-5.730000000000051,5.740000000000052,0.0,0.0,0.0,0.0,-1.0100000000000036,1.0100000000000036,30.3400000000003,23.430000000000224,15.17000000000015
