model,condition,objective_value,objective_pct_change,propionate_flux
Recon3D,StachysDose_High,133.91166666666672,285.7828779949026,0.0
Recon3D,StachysDose_Mid,84.31166666666668,142.89143899745025,0.0
Recon3D,StachysDose_Low,59.51166666666665,71.44571949872402,0.0
Human-GEM,StachysDose_High,178.76750000000087,412.70524127052425,-2.8
Human-GEM,StachysDose_Mid,106.8175000000002,206.3526206352612,-1.4
Human-GEM,StachysDose_Low,70.84250000000074,103.1763103176322,-0.7
